term,definition,category,example,correct,attempts,last_tested
Iatrogenic,"An unfavorable response or condition, caused by medical or dental personnel, diagnostic tests or
treatment procedures.",,,,,
Ideal occlusion,"A theoretical concept of an ideal arrangement of the teeth within the dental arches, combined with
an ideal interarch relationship, which concentrates optimal esthetics, function, and stability of the
dentition and supporting structures.
[See Six keys of occlusion]",,,,,
Idiopathic,"Pain, disease or disorder of unknown etiology.",,,,,
Immobilization,"[See Fixation, Surgical]
[See Splinting (of teeth)]",,,,,
Imbrication,"The overlapping of incisors and canines in the same arch, usually due to crowding.",,,,,
Impaction (of food),The forceful wedging of food into the interproximal space during mastication.,,,,,
Impaction (of the maxilla),"An orthognathic surgical procedure involving superior repositioning of the maxilla, usually by
means of a Le Fort I osteotomy. A maxillary impaction is used for correction of a high smile line,
associated with vertical maxillary excess. In the instance of surgical correction of a skeletal open
bite, a differential maxillary impaction is performed, whereby the anterior aspect of the maxilla is
moved superiorly to a lesser extent than its posterior aspect.",,,,,
Implant,"An alloplastic material or device that is surgically placed into the body. In dentistry, implants are
placed beneath the mucosal or periosteal layer or within bone for functional, therapeutic or esthetic
purposes. Root-form, endosseous, screw-threaded implants are the most commonly used implants
in clinical practice.

SUBTERMS:
Endosseous implant
Orthodontic implant
Subperiosteal implant
Transosteal implant",,,,,
"Treacher Collins syndrome (TCS),","Multiple surgical procedures are necessary for the correction of the above deformities, including
zygomatic, orbital and TMJ reconstruction with bone grafts; ear and nose reconstruction; as well as
bimaxillary orthognathic surgery or distraction osteogenesis.
[See Coloboma]
[See Antegonial notch]",,,,,
Impression,"An accurate negative imprint of the maxillary or mandibular dental arch and surrounding structures,
from which a positive reproduction (cast, model) can be made. When taking an impression for
orthodontic purposes the flanges of the impression tray are extended to allow maximum
reproduction of the alveolar process. Alginate is by far the most commonly used impression
material in orthodontics.
[See Orthodontic casts (Orthodontic models)]
[See Orthodontic impression trays]",,,,,
Incidence,"The number of new patients acquiring a disease or condition over a predetermined time period, as
generated by an analytic epidemiological investigation of a prospective longitudinal nature.
[Compare with Prevalence]",,,,,
Incisal,"Pertaining to, or in the direction of, the incisal edge of the anterior teeth.",,,,,
"Inclination (Third order, ""Torque"")","Angular deviation of the long axis of a tooth from a line
perpendicular to the occlusal plane, in the labiolingual, or
buccolingual direction.
[Compare with Angulation (Second order, ""Tip"")]",,,,,
Inclined plane,"An oblique surface (slope) used to correct a crossbite of one or more incisors.
The inclined plane can be part of a removable appliance or it can be fixed on the
teeth of the opposing arch. Inclined planes also have been used as part of
functional appliances to induce an anterior or posterior mandibular position.",,,,,
Index,"A relative or arbitrary system of measurement used to describe or quantify a condition. The
purpose of an index is to reduce the multitude of variables that enter into a diagnosis and influence
the assessment of the severity and prognosis of a condition, to a format (numerical or categorical)
that permits direct comparison.
Many indices have been advocated in orthodontics; some have been developed to classify
malocclusion into types (the Angle classification being a prime example), others to record
prevalence of malocclusion in epidemiological studies. In addition, certain occlusal indices (such as
the IOTN and PAR index) are meant mainly as methods of determining the need for treatment, or
as indicators of the clinical outcome of treatment.",,,,,
"Index
• Cephalic index","A numerical expression of the ratio between biparietal diameter
and fronto-occipital diameter of a living person’s head.
[Compare with Index, Cranial. ] The cephalic index is calculated
by the formula ""maximum head width x 100/maximum head
length. "" It is used in anthropometry to classify skulls as
dolichocephalic (cephalic index up to 75.9), mesocephalic
(between 76 and 80.9) or brachycephalic (81 or larger).
[Compare with Index, Cranial index]",,,,,
"Index
• Cranial index",The equivalent of the cephalic index in a dry skull; a craniometric measurement.,,,,,
"Index
• Facial index","A numerical expression of the proportionality of the face. The facial index is calculated by the
formula: ""facial height x 100/zygomatic width. "" It is used in anthropometry to classify faces as
euryprosopic, mesoprosopic or leptoprosopic.",,,,,
"Index
• Index of orthodontic treatment need (IOTN)","An index developed by P. H. Brook and W. C. Shaw in 1989. The IOTN ranks malocclusions in
terms of the significance of their various components for the individual’s dental health and
perceived esthetic impairment. The intention is to identify those individuals who would most likely
benefit from orthodontic treatment. It incorporates a dental health and an esthetic component. The
dental health component can be applied either clinically or on study casts, by categorizing each
occlusal trait contributing to the malocclusion into one of five grades (grade 1 = no need for
treatment, grade 5 = great need). The measurements are facilitated by a specially designed ruler.
The esthetic component consists of a 10-point scale illustrated by a series of numbered
photographs to which the patient’s situation is compared.",,,,,
"Index
• Irregularity index","An index introduced by R. M. Little in 1975 for standardized assessment of mandibular anterior
crowding. It involves measuring the linear displacement of the anatomic contact points (as
distinguished from the clinical contact points) of each mandibular incisor from the respective points
of the adjacent teeth. The sum of these five displacements represents the relative degree of
anterior irregularity. Perfect alignment from the mesial aspect of the left to the right canine would
yield a score of 0, with increased crowding represented by greater displacement, and thus a higher
index score. The measurements are performed with a caliper, parallel to the occlusal plane.
Vertical discrepancies between adjacent contact points are not taken into account, as it is assumed
that correction of such discrepancies would not appreciably affect anterior arch length. Mesiodistal
interdental spacing also is disregarded, provided the teeth in question are in proper arch form. If
spacing as well as rotations are present, only the labiolingual displacement from the proper arch
form is recorded.",,,,,
"Index
• Peer assessment rating (PAR) index","An index for recording the severity of a malocclusion in the mixed and permanent dentition,
developed in 1987 by a group of 10 orthodontists in Great Britain (British Orthodontic Standards
Working Party). The index consists of a scoring system of study casts, facilitated by a ruler.
Individual scores for the components of alignment and occlusion finally are summed to calculate an
overall score. Thus, a score of zero would indicate perfect alignment and occlusion, with scores
above zero (but rarely beyond 50) indicating increasing levels of irregularity. The index is applied to
both the start and end of treatment study casts, and the change in the total score reflects the
success of treatment with regard to the alignment and occlusion.",,,,,
"Torque

• Progressive posterior torque","A torquing activation placed unilaterally or bilaterally over the entire buccal segment, as described
by C. H. Tweed. This can be performed by holding the archwire with one pair of pliers (or with the
fingers), e.g. distal to the canine bracket and with another pair of pliers close to the end of the wire,
and by twisting appropriately. In this way the torquing activation is distributed over all the teeth
engaged on that part of the archwire.
[Compare with Torque, Continuous posterior torque]",,,,,
Inelastic,Deviating from a proportional relationship of stress and strain.,,,,,
Inferior joint space (Inferior joint compartment),"The intra-articular space between the head of the mandibular condyle and the inferior surface of
the articular disc of the TMJ. During the early opening stage of mandibular movement, only the
inferior joint space is involved (by rotational movement of the condyle).
[See Joint, Temporomandibular joint (TMJ, Craniomandibular articulation)]
[See Superior joint space (Superior joint compartment)]",,,,,
Inertia,The property of matter that causes it to resist change in motion.,,,,,
Informed consent,"The outline by any health professional, including the orthodontist, of the patient’s problems along
with the possible solutions, in a simplified fashion comprehensible to the reasonable layman, in
order to obtain the patient’s consent to treatment. The health professional is supposed to establish
treatment priorities through discussion with the patient. Reasonable treatment alternatives and the
risks and benefits of each alternative should be provided, including that of no treatment. In this
way, the patient is able to make an informed decision. Informed consent is a legal requirement
prior to treating patients and is encouraged by the American Association of Orthodontists.",,,,,
Infraorbital pointer,"The component of an articulator facebow that records the position of the infraorbital rim to facilitate
alignment of the plane of the facebow with the Frank-fort horizontal plane.",,,,,
Infraposition (Infraocclusion,")A situation in which a tooth or group of teeth is positioned below the occlusal plane; commonly due
to a deleterious habit or to ankylosis. Infraposition is a more general term that contains
undereruption.
[Compare with Undereruption (Infraeruption)]",,,,,
Initiating factors,Factors that cause the onset of a disease or disorder.,,,,,
Intensifying screen (Rare-earth screen),"A screen used to intensify the latent images on an x-ray film. It usually consists of a thin sheet of
plastic coated with a fluorescent material, which is mounted in the cassette in close contact with
the film. The x-rays cause the screen to produce visible light, which intensifies the generation of
the latent images on the film, greatly reducing the exposure of the patient to radiation.",,,,,
Interceptive orthodontic treatment,"Intervention in the incipient stages of a problem to lessen its severity or possible future adverse
effects and to eliminate its cause. Such treatment may take place in the deciduous or transitional
dentition and may include redirection of ectopically erupting teeth, slicing or extraction of deciduous
teeth, correction of isolated dental crossbites or recovery of minor space loss. The presence of
complicating factors such as skeletal disharmonies, overall space deficiency, or other conditions
requiring present or future comprehensive therapy are beyond the realm of interceptive therapy.
[Modified from the AAO Glossary of Dento facial Orthopedic Terms, 1993.]",,,,,
Interdigitation (Intercuspation),"The interlocking of the cusps of the posterior teeth in the fossae and embrasures of their
antagonists.",,,,,
Interdental spacing,Spacing between the teeth.,,,,,
Interbracket span (Interbracket distance),"The distance between orthodontic brackets (measured between adjacent slot ends) that
determines the length of a straight wire connecting them. The smaller the width of the brackets, the
longer the interbracket span, the lower the load/deflection rate of the wire and vice versa.
[See Load/deflection rate (Force/deflection rate)]",,,,,
Interlabial gap,"The vertical separation of the lips at rest. A 2- to 3-mm interlabial gap generally is considered to be
esthetically pleasing.
[See Cephalometric measurements, Interlabial gap]",,,,,
Intermaxillary,"Between the maxilla and the mandible.
[Compare with Intramaxillary]",,,,,
Internal derangement,"Disturbed arrangement of intracapsular joint components that interferes with smooth joint
movements. In the TMJ it can be associated with elongation, tear or rupture of the ligaments or
capsule, causing altered disc position or morphology. Although this is not always the case, chronic
dysfunction of internally deranged TMJs generally is thought to follow a progression to more
severe stages of breakdown, eventually leading to degenerative joint disease.",,,,,
"Interocclusal splint

[See Splint]","Interocclusal splint

[See Splint]",,,,,
"Interproximal stripping (Interproximal reduction of enamel, Reproximation, Slenderizing)","Reduction of the mesiodistal width of the teeth by removal of interproximal enamel. This procedure
can be achieved by means of handheld or motor-driven abrasive strips, or handpiece-mounted
abrasive discs, or by means of a tapered fissure carbide bur. It most commonly is performed in the
mandibular or maxillary incisor area in patients with a tooth-size discrepancy. Generalized stripping
of the entire arch is advocated by J. J. Sheridan to relieve crowding without extractions. According
to him, up to 0.3 or 0.4 mm of enamel can be removed per tooth surface, depending on the size
and shape of the teeth.
It has been advocated that interproximal stripping, if carried out to an extreme, may cause the
mandibular incisor roots to approximate excessively, resulting in thinning of the interradicular
alveolar bone, perhaps making it more prone to later periodontal bone loss. Another potential side
effect is the resulting enamel roughness that may contribute to increased plaque accumulation.",,,,,
"Intermediate splint

[See Splint, Surgical splint (Surgical wafer)]","Intermediate splint

[See Splint, Surgical splint (Surgical wafer)]",,,,,
Intersegmental,"Between segments of teeth (usually within the same dental arch).
[Compare with Intrasegmental]",,,,,
Interstitial growth,"Growth within a tissue. Histologically, a characteristic type of growth of soft tissues and cartilage
occurring by a combination of cellular hyperplasia and hypertrophy. Interstitial growth does not
occur in calcified tissues such as teeth or bone.",,,,,
Intracapsular,Located within the capsule of a joint.,,,,,
Torsional mechanical couples,"A combination of two mechanical couples with opposite senses applied at a certain distance from
each other along the length of a wire to place torsional deformation (torque) in it. In practice, this is
accomplished by holding a wire with two pliers (or a plier and a torquing key) and twisting in
opposite directions.",,,,,
Ion implantation,"A surface modification technique involving a ballistic process through which an element is
imbedded into the surface of a substrate. The main advantage of this process is that the surface
properties of the substrate are improved, while the bulk properties and tolerances remain
unchanged. Ion implantation is used in orthodontics to optimize the frictional characteristics of b-Ti
archwires.",,,,,
"Intracoronal retainer
[See Retainer, Bonded lingual retainer]","Intracoronal retainer
[See Retainer, Bonded lingual retainer]",,,,,
"Intramaxillary
Within the same dental arch.
[Compare with Intermaxillary]","Intramaxillary
Within the same dental arch.
[Compare with Intermaxillary]",,,,,
"Intrasegmental
Within the same segment of teeth.
[Compare with Intersegmental]","Intrasegmental
Within the same segment of teeth.
[Compare with Intersegmental]",,,,,
Invisible braces,"A lay term applied to lingual orthodontic appliances, or to those made of a clear material (ceramic
or plastic brackets).
[See Appliance, Lingual appliance ]",,,,,
Jaw,"Either of the two bony structures (maxilla or mandible) in most vertebrates that border the mouth
and bear teeth.

SUBTERMS:
Jaw
• Lower jaw

[See Mandible]",,,,,
"""Jiggling"" (of a tooth)","Repetitive limited movement of a tooth in one and then in the opposite direction, as is commonly
thought to occur under the influence of occlusal forces. Most types of orthodontic tooth movement
in reality take place as a series of minute ""jiggling"" movements. This translates into continuous
reversal of the root surfaces that sustain compression and tension which is, at the histological
level, equivalent to round-tripping.
[See Round-tripping]",,,,,
Joint,The place of union between two or more bones.,,,,,
"Joint
• Arthrodial joint",A joint that permits gliding movements (translation).,,,,,
"Joint
• Cartilaginous joint","A joint in which cartilage is interposed between the implicated bones and the fibrous tissue (in the
sequence: bone-cartilage-fibrous tissue-cartilage-bone). Examples are the costochondral joint and
the pubic symphysis. Cartilaginous joints permit little if any movement of the bones involved.",,,,,
"Joint
• Fibrous joint","A joint in which the bones are connected by fibrous tissue. Three types are described:
Suture, a joint that permits little or no movement. Its function also is to permit bone growth.
Gomphosis, a joint such as the one that connects a tooth to its surrounding bone by the fibrous
periodontal ligament.
Syndesmosis, a joint in which the two bony components are some distance apart, but are
connected by a ligament that permits limited movement (e.g. the joint between the fibula and tibia,
or that between the radius and ulna).
[See Suture]",,,,,
"Joint
• Ginglymoid joint",A joint that permits hinging movement (rotation) in one plane.,,,,,
"Joint
• Synovial joint","A type of joint by which two bones are united and surrounded by a fibrous capsule, thus creating a
joint cavity. [Note: The name comes from the latin word ova (egg) because the opposing bones of
such joints are separated by an enclosed space filled with fluid which, when examined with the
naked eye, resembles egg white. ] The capsule is continuous with periosteum of the bones
involved in the joint and is lined on its inner surface by a synovial membrane. The synovial
membrane secretes synovial fluid that fills the joint cavity. The articulating surfaces of the bones
are covered with hyaline cartilage (the temporomandibular, acromioclavicular and ster-noclavicular
joints are exceptions in that their articulating surfaces are covered by fibrous tissue). The cavity
may or may not possess a fibrous articular disc, separating it into two compartments. Various
ligaments are associated with synovial joints to strengthen the articulation and limit excess
movement.Synovial joints are classified further by the number of axes in which the bones involved can move
(uniaxial or multiaxial) and by the shapes of the articulating surfaces (planar, ginglymoid, pivot,
condyloid, saddle, and ball-and-socket). Movements in a synovial joint are initiated and performed
by muscles working together in a highly coordinated manner.",,,,,
Labial,"Of or pertaining to the lips, or in a direction towards the lips. Also identifies a surface facing the lips.
[Compare with Lingual]
Labial bow
A part of a removable orthodontic appliance, typically consisting of a stainless steel wire that lies
on (or at a distance from) the labial surface of the maxillary or mandibular anterior teeth, usually at
the mid-crown level. A labial bow may be embedded in the acrylic of the appliance and cross the
occlusal table at the embrasures mesial or distal to the first premolars, or it may be soldered
directly onto the molar clasps. It is used to enhance retention of the appliance, to relieve pressure from the lips as well as (when activated) to tip the incisors lingually and close spaces. A labial bow
can be covered with clear acrylic in the case of some retainers.
[See Retainer, Hawley retainer]
[See Retainer, Spring retainer (Barrer retainer)]",,,,,
Mesiodistally,"In a direction along the dental arch. For incisor teeth this term signifies a direction approximately
perpendicular to the sagittal plane (along the z-axis), whereas for all other teeth it actually indicates
a direction approximately parallel to the sagittal plane (along the x-axis).
[See Global reference frame]",,,,,
"Torque
• Root torque","Change of inclination of a tooth by movement of the root, with relatively little movement of the
crown (termed ""buccal"" or ""lingual/palatal"" root torque, depending on the direction of movement).",,,,,
• Passive torque,"Activation for labiolingual or buccolingual root movement of a tooth or group of teeth without
actively placing twisting bends on the archwire. Passive torque is a consequence of tooth
inclination and the resulting corresponding orientation of the bracket slot in relation to the
rectangular (or square) archwire.
[Compare with Torque, Active torque]",,,,,
Passive torque,"Activation for labiolingual or buccolingual root movement of a tooth or group of teeth without
actively placing twisting bends on the archwire. Passive torque is a consequence of tooth
inclination and the resulting corresponding orientation of the bracket slot in relation to the
rectangular (or square) archwire.
[Compare with Torque, Active torque]",,,,,
Jumping of the bite,"1. An expression credited to N. W. Kingsley in the late 1800s, referring to the avoidance of the prior
intercuspal position by anterior repositioning of the
mandible. Such an effect can be brought up by a
functional-type appliance for the correction of mandibular
retrognathism.
2. The same expression also is used to connote correction
of an anterior crossbite by movement of the affected tooth
over the opposing dental arch.
[See Appliance, Kingsley appliance (Bite-jumping
appliance)]
[See Appliance, Herbst appliance]",,,,,
"Torque
• Crown torque","Change of inclination by movement of the crown, with relatively little movement of the root (termed
""buccal"" or ""lingual/palatal"" crown torque, depending on the direction of movement).",,,,,
Continuous posterior torque,"A torquing activation placed unilaterally or bilaterally at one point on the archwire for the entire
buccal segment, as described by C. H. Tweed. This can be performed by holding the archwire with
two pairs of pliers very close to each other, and by twisting appropriately so that a torquing bend is
placed at a specific point on the archwire.
The choice of term is somewhat unfortunate, as in this case the torquing activation is mainly ""felt""
by the tooth immediately distal to the bend. The teeth lying more posteriorly along the archwire will
probably ""feel"" minimal torquing activation, until the inclination of the tooth distal to the bend has
actually changed as a result of the torque.
[Compare with Torque, Progressive posterior torque]",,,,,
"Torque
• Active torque","Activation for labiolingual or buccolingual root movement of a tooth or group of teeth, brought about
by actively placing a torsional bend into an archwire with rectangular or square cross-section.
[Compare with Torque, Passive torque]",,,,,
Torque,"Type of activation placed into a rectangular (or square) orthodontic archwire by twisting it around
its long axis, with the purpose of achieving a rotation of the tooth (or group of teeth) around the x(mesiodistal) axis. The intended type of torquing movement is accomplished largely by movement
of the root of the tooth in the labiolingual or buccolingual direction (e.g. buccal root torque, labial
crown torque), with no or minimal movement of the crown in the opposite direction. The type of
bends placed in an archwire to produce torque are classified in Tweed’s coordinate system as
""third-order"" bends.
The term ""torque"" often (though strictly speaking, incorrectly) is used as a substitute for the term
""inclination.""
[See Orthodontic springs, Torquing spring]",,,,,
Lateroclusion,"A functional posterior cross-bite associated with a lateral shift of the mandible that occurs only in
centric occlusion (CO or ICP). In centric relation (CR) the mandible is centered in the midsagittal
plane. This type of crossbite is caused by dental interferences and can be treated by maxillary
expansion and/or by occlusal equilibration.",,,,,
Laterotrusion,"The movement away from the median of the ipsilateral (working) half of the mandible and the
respective condyle, during a lateral mandibular excursion.
[Compare with Mediotrusion]",,,,,
Lavage,The process of washing out or irrigating a cavity or an organ.,,,,,
Laterognathia,"A posterior crossbite in CO, associated with a lateral shift of the mandible that does not improve
when the mandible is in CR (a true skeletal asymmetry). In severe situations the only treatment
option is orthognathic surgery.
[Compare with Lateroclusion]",,,,,
Law of transmissibility of force,"According to this law, the point of application of any force applied to a rigid body can be considered
to lie anywhere along the line of action of the force.
For example, a single retraction force on the crown of a maxillary incisor will have the same effect
on the tooth whether it is applied on the labial or on the palatal aspect of the crown, provided the
line of action is the same. Similarly, the outer arms of a facebow used with a high-pull headgear
can be cut short or bent upwards without changing the force system ""felt"" by the molars, provided
the line of force from the headstrap is the same.
The law of transmissibility of force is applied when combining two or more
forces with different points of application to construct their resultant force.",,,,,
"Le Fort I, II and III surgical procedures
[See Osteotomy, Complete maxillary osteotomy]","Le Fort I, II and III surgical procedures
[See Osteotomy, Complete maxillary osteotomy]",,,,,
Leptoprosopic,Having a narrow and long facial form.,,,,,
Leeway space,"The difference between the combined width of the deciduous canine, first
and second molars in each quadrant, and their successors (permanent canine, first and second premolars). The term was introduced by H. N. Nance (1947). The average value is approximately 1.0 mm for each maxillary quadrant and 1.7 mm for each mandibular
quadrant, although there are large individual variations. These ""spaces"" normally are closed by
mesial drift of the first permanent molars as the deciduous teeth are replaced.",,,,,
Leveling,"The phase of comprehensive orthodontic treatment
aiming at flattening the curve of Spee until the marginal
ridges of all the teeth in the arch lie more or less in the
same horizontal plane. Thus, leveling refers to correction
in the vertical plane.",,,,,
Ligature,"A tie that secures an archwire or other auxiliary in the bracket slot, by being placed under the tiewings of the bracket. Ligatures are typically made of stainless steel wire, rubber, or elastomeric
material.",,,,,
Ligament,"Flexible band of fibrous tissue composed of parallel collagenous bundles, binding joints together,
as well as connecting various bones and cartilages.",,,,,
Leveling wire,Any archwire used for leveling.,,,,,
"""Play"" of an orthodontic wire in the bracket slot","""Play"" of an orthodontic wire in the bracket slot
The amount of freedom allowed at the bracket-to-wire interface due to the difference in size
between the wire and the bracket slot. The amount of ""play"" varies depending on the relative size
of the bracket and wire and refers to the type of individual movement intended (usually a distinction
is made between second-order and third-order clearance). For example, to achieve a certain
amount of torquing movement of an individual tooth, more activation (in degrees) is necessary
when using a 0.016 x 0.022-inch (0.41 x 0.56-mm) archwire, compared to using an 0.018 x 0.025inch (0.46 x 0.64-mm) archwire, because of the increased torsional play in the former case.
[See Second-order clearance]
[See Third-order clearance]",,,,,
Play of an orthodontic wire in the bracket slot,"""Play"" of an orthodontic wire in the bracket slot
The amount of freedom allowed at the bracket-to-wire interface due to the difference in size
between the wire and the bracket slot. The amount of ""play"" varies depending on the relative size
of the bracket and wire and refers to the type of individual movement intended (usually a distinction
is made between second-order and third-order clearance). For example, to achieve a certain
amount of torquing movement of an individual tooth, more activation (in degrees) is necessary
when using a 0.016 x 0.022-inch (0.41 x 0.56-mm) archwire, compared to using an 0.018 x 0.025inch (0.46 x 0.64-mm) archwire, because of the increased torsional play in the former case.
[See Second-order clearance]
[See Third-order clearance]",,,,,
"Lingual crown torque

[See Torque, Root torque]
[See Torque, Crown torque]","Lingual crown torque

[See Torque, Root torque]
[See Torque, Crown torque]",,,,,
Mechanics,"The physical science that deals with the state of rest or motion of bodies under the action of forces.
Mechanics includes two sub-disciplines, statics and dynamics, and is also associated very closely
with materials science. In orthodontics the term often is used as a synonym for mechanotherapy.",,,,,
Lingual cleat,"A low-profile attachment that can be bonded directly to a tooth
or welded on a band. Its functions are to accommodate the
attachment of elastics, to aid as a seating lug during band
fitting, and to facilitate band removal.",,,,,
"Kinetic friction

[See Friction]","Kinetic friction

[See Friction]",,,,,
"Kobayashi hook (Kobayashi tie, Kobayashi ligature)","A ligature fabricated from 0.012-inch (0.30-mm) or 0.014-inch (0.35mm) annealed stainless steel wire, whose legs are welded onto each
other, forming a helical ""hook"" at its end. It is placed on a bracket
below the archwire or in the same way as a regular stainless steel
ligature and it is used for the attachment of orthodontic elastics.",,,,,
"Orthodontic instruments
• Serrated amalgam-plugger","A single-ended or double-ended (in combination with a
ligature director or other tip) stainless steel instrument,
sometimes used to seat and position bands or to tuck
steel ligatures. The tip is available in various lengths,
angles and diameters and usually is serrated for better
control in pushing motion.",,,,,
Lip interposition,"The habit of placing the lower lip between the maxillary and mandibular
anterior teeth, or between the mandibular anterior teeth and the palate
(often seen in patients with an increased overjet).",,,,,
"Lip incompetence (Incompetent lip seal)
Excessive separation of the lips at rest.","Lip incompetence (Incompetent lip seal)
Excessive separation of the lips at rest.",,,,,
Linguoversion,"Linguoversion
Lingual inclination of one or more teeth.",,,,,
Lip exercises,"Exercises aiming at stimulating the musculature of the lips, with the objective of achieving a
competent lip seal. A key component of functional appliance treatment, stressed by R. Frдnkel.",,,,,
Joint noises,"[See Clicking]
[See Crepitus (Crepitation, Grating sound)]",,,,,
"Joint symptoms
Symptoms of TMD.","Joint symptoms
Symptoms of TMD.",,,,,
Tooth-to-lip relationship.,"For optimal esthetics, it is considered desirable that approximately 2 to 4 mm of the maxillary
central incisors be uncovered by the upper lip at rest (in other words, the upper lip should cover
roughly 2/3 of the maxillary central incisor crown length at rest). Similarly, in an esthetically
pleasing smile, the upper lip is raised approximately to the level of the cementoenamel junction of
the incisors, so that the full crowns of the maxillary incisors are shown.
Excessive gingival exposure on smiling (""gummy"" smile) is considered unesthetic, as is inadequate
maxillary incisor exposure on smiling (""edentulous"" smile). The tooth-to-lip relationship is an
important parameter in orthodontic treatment planning, which to a great extent determines the type
of incisor movement desired.",,,,,
"Joint
• Temporomandibular joint (TMJ, Craniomandibular articulation)","Paired synovial joint capable of both gliding (translation) and hinge (rotation) movements; thus
considered a ginglymoarthrodial joint. The TMJ is formed by the mandibular condyle fitting into the
glenoid fossa of the temporal bone. Separating these two bones from direct contact is the articular
disc. In the healthy joint, the articular portion of the disc is composed of dense fibrous connective
tissue, devoid of any nerves or vessels. Conversely the posterior attachment of the disc is richly
vascularized and innervated.
The disc also is attached to the condyle both medially and laterally by collateral (discal) ligaments.
These ligaments permit rotational movement of the disc on the condyle during opening and closing
of the mouth. This so-called condyle-disc complex translates out of the fossa during over-extended
mouth opening.
Surrounding the joint is a fibrous capsule (capsular ligament) that extends from the margins of the
glenoid fossa, including the articular eminence anteriorly, to envelop the head of the condyle before
fusing inferiorly with the periosteum of the condylar process. Other ligaments reinforcing the joint
are the lateral (temporomandibular) ligament, which reinforces the lateral wall of the capsule,
preventing lateral dislocation of the condyle, as well as the sphenomandibular and stylomandibular
ligaments.
In the healthy joint, rotational movement occurs between the condyle and the inferior surface of the
disc (the inferior joint space) during early opening. During later stages of opening, translation takes
place in the space between the superior surface of the disc and the fossa (the superior joint
space). The synovial fluid serves as a lubricant and also acts as a medium for transporting
nutrients to and waste products away from the joint components.
Unlike most synovial joints the articulating surfaces of the TMJs are lined with dense fibrous
connective tissue, not hyaline cartilage. This is an important feature because fibrous connective
tissue has a greater ability to repair itself than does hyaline cartilage. Movement and stability of the
TMJs is achieved by the muscles of mastication. These include the masseter, medial pterygoid and
temporal muscles, which predominantly elevate the mandible; the digastric muscles, which assist
in mandibular depression; the inferior lateral pterygoid muscles, which assist in protruding the
mandible; and the superior lateral pterygoid muscles, which provide stabilization for the condyle
and disc during function.",,,,,
Labiolingual tipping,"Tipping of a tooth in a labiolingual direction.
[See Inclination (Third order, ""Torque"")]",,,,,
Labioversion,Labial inclination of one or more teeth.,,,,,
Lacunae,"Lacunae
Small pits or hollow cavities.
[See Howship’s lacunae]",,,,,
Laceback (Lace),"Stainless steel ligature placed passively in a figure-eight
mode (usually from the terminal molar to the canine of the
same quadrant), as part of the leveling and alignment
stage of treatment with the straight-wire appliance. For
example, when a canine is slightly upright at the time of
insertion of the initial archwire, a laceback serves to
maintain the sagittal position of its crown, so that the
angulation of the tooth is improved by distal movement of
the root.
[See Figure-eight ligature]",,,,,
Lingual,"Of or pertaining to the tongue; or in a direction towards the tongue. Also identifies a surface facing
the tongue.
[Compare with Labial]",,,,,
Limited orthodontic treatment,"Orthodontic treatment with a limited objective, not involving the entire dentition. It may be directed
at the only existing problem, or at only one aspect of a larger problem in which a decision is made
to defer or forego more comprehensive therapy. Examples of this type of treatment would be
single-arch treatment to improve alignment, partial treatment to close or to open space, or to
upright a tooth in preparation for prosthodontic treatment. [Modified from the AAO Glossary of
Dentofacial Orthopedic Terms, 1993.]",,,,,
"Terminal plane
• Flush terminal plane","An end-to-end relationship between the distal proximal
surfaces of the maxillary and mandibular second
deciduous molars, usually leading to a Class I or Class II
relationship between the (at the time, still unerupted)
maxillary and mandibular first permanent molars.
[See Terminal plane, Distal step]
[See Terminal plane, Mesial step]",,,,,
Malocclusion,"Any deviation from the normal or ideal occlusion.
[See Angle classification]",,,,,
"Orthodontic instruments
• Adams pliers (Universal pliers)","Heavy wire pliers with sharply tapered beaks forming a four-sided pyramid when closed. Used for
bending heavy-gauge wires and adjusting removable appliances.",,,,,
Resorption,"A loss of substance from tissues that normally are mineralized (e.g. dentin, cementum, bone). The
process may be physiologic or pathologic.",,,,,
"Loop
• L-loop (Boot loop)","An orthodontic loop in the shape of an ""L"" (or a ""boot""). It combines
flexibility in both horizontal (mesiodistal and buccolingual) and
vertical dimension. The L-loop delivers a force system that is
different at the two sides of the loop. As a simple rule, the smaller
moment is developed at the bracket that faces the L-loop.
[See Loop, Closing loop]
[See Loop, T-loop]",,,,,
"Loop
• Omega loop","An W-shaped loop used primarily for space closure, or for attachment of intermaxillary elastics.
Loop
• Open loop
A loop whose vertical leg separation increases when activated by
traction (the base of the loop is open), in contrast to a closed loop.
[Compare with Loop, Closed loop (Reverse loop)]
[See Loop, Vertical loop]
[See Loop, T-loop]
[See Loop, Teardrop loop]",,,,,
"Loop
• Opening loop","A loop used to create space, in a fashion comparable to an open coil spring. The loop is
compressed to engage the archwire in the brackets, so deactivation of the loop will tend to
increase the arch length.

[See Orthodontic springs, Coil spring, Open]
[Compare with Loop, Closing loop]",,,,,
"Loop
• Rectangular loop","A rectangular-shaped loop bent into a segmental wire (the
posteriorly directed, horizontal end of the loop is free). The
rectangular loop is used to overcome problems of inconsistency
of force system delivered by a straight wire, where either the
forces or the moments are in an undesirable direction. The
desired combination of forces and moments can be reached by
varying the point of ligation along the horizontal free end of the
loop, and by controlling the horizontal dimension of the loop.
[Compare with Loop, Vertical loop]
[Compare with Loop, Box loop]",,,,,
